id,name,description
---------,------,--------------(Leaders)
100000000,大地之母,none
100001000,亞里莎,none
100002000,艾莉卡,none
100003000,伊莎貝爾,none
100004000,羅文,none
100005000,露娜,none
100006000,尤里亞斯,none
100007000,伊莉絲,none
100008000,伊昂,none
---------,------,---------------(Pack 0 / Normal)
100000111,哥布林,none
100000112,劍鬥士,none
100000113,流浪的傭兵,none
100000114,歌利亞,none
100000115,天女劍士,[ffbb00]守護[-]
100000311,命運之泉,自己的回合開始時，隨機給予1個自己的從者+1/+1效果。
---------,------,---------------
100001111,水之妖精,[ffbb00]謝幕曲[-] 增加1張[ffbb00]妖精[-]到手牌中。
100001112,妖精語森林使者,[ffbb00]入場曲[-] 增加2張[ffbb00]妖精[-]到手牌中。
100001113,精靈守衛,[ffbb00]入場曲[-] [ffbb00]連擊[-] 2；獲得+1/+1與[ffbb00]守護[-]效果。
900001111,妖精,none
---------,------,---------------(Pack 0 / Evolved)
100000911,哥布林,none
100000912,劍鬥士,none
100000913,流浪的傭兵,none
100000914,歌利亞,none
100000915,天女劍士,[ffbb00]守護[-]
---------,------,---------------
100001911,水之妖精,[ffbb00]謝幕曲[-] 增加1張[ffbb00]妖精[-]到手牌中。
100001912,妖精語森林使者,none
100001913,精靈守衛,none
900001911,妖精,none
