id,name,timing,target,keyword,condition,cond_option,ability,ability_option
1,none,on_this_summon,self,none,none,none,set_keyword,keyword=1
2,none,on_this_summon,self,none,none,none,set_keyword,keyword=2
3,none,on_this_summon,self,none,none,none,set_keyword,keyword=3
4,none,on_this_summon,self,none,none,none,set_keyword,keyword=4
5,none,on_this_summon,self,none,none,none,set_keyword,keyword=5
6,none,on_this_summon,self,none,none,none,set_keyword,keyword=6
22,none,on_this_summon,self,none,none,none,set_keyword,keyword=8
25,none,on_this_summon,self,none,none,none,set_keyword,keyword=9
----,----,----,----,none,----,----,----,----
-1,none,on_this_use,me_hand_1_index+other,none,none,none,discard,type=vanish
-2,none,on_this_use,none,none,none,me.leader.craft=0,travel,count=2
-3,none,on_this_use,none,none,none,me.leader.craft!=0,travel,count=2&filter=[craft:me.leader.craft]
-4,none,on_this_use,me_hand_1_index+other,none,none,none,discard,type=vanish
-5,none,on_this_use,none,none,none,me.leader.craft=0,travel,count=2&filter=[rarity:3|4]
-6,none,on_this_use,none,none,none,me.leader.craft!=0,travel,count=2&filter=[craft:me.leader.craft][rarity:3|4]
----,----,----,----,none,----,----,----,----
1001,none,on_this_use,me_leader_0_all_[type:0],none,none,none,heal,heal=2
1002,none,on_this_use,none,none,none,none,draw,count=1&filter=[type:3]
1003,none,on_this_use,me_field_0_all_[type:1|9],none,none,none,buff,add=1/0
1004,none,on_turn_start,me_field_0_all_[type:1|9],none,none,me.isMyTurn=1&effect.source.where=5,buff,add=1/0
1005,none,on_this_use,me_field_1_index_[type:1|9],none,none,none,buff,add=2/0
1006,none,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,none,damage,damage=3
1007,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,destroy,none
1008,none,on_this_use,op_leader_0_all_[type:0],none,none,none,damage,damage=2
1009,none,on_this_use,all_field_0_all_[type:1|9],none,none,none,damage,damage=3
1010,none,on_this_destroy,none,none,none,none,get_token,id=910011101&count=1
1011,none,on_this_use,op_field_1_random_[type:1|9],none,none,none,damage,damage=1
1012,none,on_this_use,none,none,leader.combo,me.leader.combo>=2,draw,count=1
1013,none,on_other_summon,self,none,none,effect.source.where=5&sourceEffect.target.first.isMe=1&sourceEffect.target.first.current[IF][type:1|9]=1,buff,add=1/0
1014,none,on_this_use,none,none,none,none,get_token,id=910011101&count=1
1015,none,on_this_use,none,none,none,none,get_token,id=910011101&count=2
1016,none,on_this_use,me_field_1_index_[type:1|3|9],none,none,none,return,none
1017,none,on_this_use,none,none,none,none,draw,count=1
1018,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,damage,damage=2
1019,none,on_this_use,none,none,none,none,get_token,id=910011101&count=1
1020,none,on_this_evolve_with_ep,none,none,none,none,get_token,appendix=1021&id=910011101&count=2
1021,none,on_this_evolve_with_ep,sourceEffect.target_hand_0_all,none,none,none,set_cost,set=0
1022,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,damage,damage=me.hand.count
1023,none,on_this_use,none,none,none,none,get_token,id=910011101&count=2
1024,none,on_this_use,me_field_0_all_[type:1|9],none,leader.combo,me.leader.combo>=2,buff,add=1/1
1025,none,on_this_use,none,none,none,none,summon,id=910021101&count=1
1026,none,on_this_use,none,none,none,none,summon,id=910021105&count=1
1027,none,on_this_use,op_field_0_all_[type:1|9],none,none,none,damage,damage=1
1028,none,on_this_attack,op_field_0_all_[type:1|9],none,none,none,damage,damage=1
1029,none,on_this_use,all_field_1_index_[type:1|9],none,none,none,buff,until=turn_end&add=1/0
1030,none,on_this_use,none,none,none,none,draw,count=1
1031,none,on_this_use,me_field_1_index_[type:1|9],none,leader.rally,me.leader.rally<10,buff,add=2/2
1032,none,on_this_use,me_field_1_index_[type:1|9],none,leader.rally,me.leader.rally>=10,buff,add=4/4
1033,none,on_this_use,none,none,none,none,draw,count=1&filter=[trait:2]
1034,none,on_this_evolve_with_ep,none,none,none,none,summon,id=910021104/910021101&count=1/1
1035,none,on_this_use,op_field_1_index_[type:1|9],none,none,me.field[keyword:5].count=0,damage,damage=3
1036,none,on_this_use,op_field_1_index_[type:1|9],none,none,me.field[keyword:5].count>0,damage,damage=6
1037,none,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,earth[1]=1,damage,earth=1&damage=3
1038,none,on_this_boost,self,none,source.boost,effect.source.where=2,set_cost,add=-1
1039,none,on_this_use,op_leader+field_1_index_[type:0|1|9],none,none,none,damage,damage=1
1040,none,on_this_use,none,none,none,none,draw,count=1
1041,none,on_this_use,none,none,none,none,summon,id=910031102&count=1
1042,none,on_this_use,op_field_1_index_[type:1|9],none,source.boost,none,damage,damage=1+effect.source.boost
1043,none,on_this_boost,self,none,source.boost,effect.source.where=2,set_cost,add=-1
1044,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,destroy,none
1045,none,on_this_destroy,none,none,none,none,draw,count=1
1046,none,on_this_use,none,none,none,none,draw,count=1
1047,none,on_this_boost,self,none,source.boost,effect.source.where=2,set_cost,add=-1
1048,none,on_this_use,none,none,none,none,summon,id=910031301&count=1
1049,none,on_this_use,me_hand_1_index+other_[keyword:14],none,none,none,boost,add=2
1050,none,on_this_use,none,none,none,none,draw,count=1
1051,none,on_this_use,none,none,none,me.isAwake=1,draw,count=1
1052,none,on_this_use,self,none,none,me.isAwake=1,set_keyword,keyword=1
1053,none,on_this_destroy,op_field_1_random_[type:1|9],none,none,none,damage,damage=1
1054,none,on_this_use,none,none,none,none,summon,id=910041102&count=1
1055,none,on_this_use,self,none,none,me.isAwake=1,set_keyword,keyword=1
1056,none,on_this_use,self,none,none,me.isAwake=1,set_keyword,keyword=2
1057,none,on_this_use,op_field_1_index_[type:1|9],none,none,none,damage,damage=2
1058,none,on_this_use,all_field_0_all_[type:1|9],none,none,none,damage,damage=1
1059,none,on_turn_start,me_leader_0_all_[type:0],none,none,me.isMyTurn=1&me.isAwake=1&effect.source.where=5,heal,heal=2
1060,none,on_turn_start,none,none,none,me.isMyTurn=1&me.isAwake=1&effect.source.where=5,draw,count=1
1061,none,on_turn_start,self,none,none,me.isMyTurn=1&me.isAwake=1&effect.source.where=5,destroy,none
1062,none,on_turn_end,none,none,none,me.isMyTurn=1&effect.source.where=5,summon,id=910041103&count=1
1063,none,on_this_use,none,none,none,none,ramp,add=1
1064,none,on_this_use,none,none,none,none,draw,count=2
1065,none,on_this_use,me_leader_0_all_[type:0],none,none,none,heal,heal=3
1066,none,on_this_use,self,none,none,none,buff,enhance=7&add=2/2
1067,none,on_this_use,self,none,none,none,set_keyword,enhance=7&keyword=1
1068,none,on_this_destroy,none,none,none,none,set_grave,add=1
1069,none,on_this_destroy,none,none,none,none,draw,count=1
1070,none,on_this_use,me_field_1_index+other_[type:1|9],none,none,me.field.count>0,destroy,none
